"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M03","Loans to households, including securitisations","%","-1.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M03","Loans to non-financial corporations, including securitisations","%","-0.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M04","Loans to households, including securitisations","%","-1.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M04","Loans to non-financial corporations, including securitisations","%","-0.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M05","Loans to households, including securitisations","%","-1.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M05","Loans to non-financial corporations, including securitisations","%","-0.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M06","Loans to households, including securitisations","%","-1.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M06","Loans to non-financial corporations, including securitisations","%","-0.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M07","Loans to households, including securitisations","%","-1.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M07","Loans to non-financial corporations, including securitisations","%","-1.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M08","Loans to households, including securitisations","%","-1.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M08","Loans to non-financial corporations, including securitisations","%","-1.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M09","Loans to households, including securitisations","%","-0.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M09","Loans to non-financial corporations, including securitisations","%","-1.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M10","Loans to households, including securitisations","%","-1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M10","Loans to non-financial corporations, including securitisations","%","-1.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M11","Loans to households, including securitisations","%","-1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M11","Loans to non-financial corporations, including securitisations","%","-1.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M12","Loans to households, including securitisations","%","-1.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M12","Loans to non-financial corporations, including securitisations","%","-1.2"
